E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.2. Transacciones de vivienda por Distrito y Barrio según Superficie construida
;;;Total
2018;09. Moncloa-Aravaca;092. Argüelles;361
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;146
2018;09. Moncloa-Aravaca;094. Valdezarza;326
2018;09. Moncloa-Aravaca;095. Valdemarín;109
2018;09. Moncloa-Aravaca;096. El Plantío;24
2018;09. Moncloa-Aravaca;097. Aravaca;521
2018;10. Latina;10. Latina;2.496
2018;10. Latina;101. Los Cármenes;165
2018;10. Latina;102. Puerta del Ángel;551
2018;10. Latina;103. Lucero;426
2018;10. Latina;104. Aluche;692
2018;10. Latina;105. Campamento;207
2018;10. Latina;106. Cuatro Vientos;31
2018;10. Latina;107. Águilas;424
2018;11. Carabanchel;11. Carabanchel;2.276
2018;11. Carabanchel;111. Comillas;145
2018;11. Carabanchel;112. Opañel;286
2018;11. Carabanchel;113. San Isidro;451
2018;11. Carabanchel;114. Vista Alegre;511
2018;11. Carabanchel;115. Puerta Bonita;273
2018;11. Carabanchel;116. Buenavista;428
2018;11. Carabanchel;117. Abrantes;182
2018;12. Usera;12. Usera;1.331
2018;12. Usera;121. Orcasitas;191
2018;12. Usera;122. Orcasur;132
2018;12. Usera;123. San Fermín;222
2018;12. Usera;124. Almendrales;211
2018;12. Usera;125. Moscardó;241
2018;12. Usera;126. Zofío;96
2018;12. Usera;127. Pradolongo;238
2018;13. Puente de Vallecas;13. Puente de Vallecas;2.693
2018;13. Puente de Vallecas;131. Entrevías;409
2018;13. Puente de Vallecas;132. San Diego;679
2018;13. Puente de Vallecas;133. Palomeras Bajas;314
2018;13. Puente de Vallecas;134. Palomeras Sureste;410
2018;13. Puente de Vallecas;135. Portazgo;273
2018;13. Puente de Vallecas;136. Numancia;608
2018;14. Moratalaz;14. Moratalaz;728
2018;14. Moratalaz;141. Pavones;72
2018;14. Moratalaz;142. Horcajo;23
2018;14. Moratalaz;143. Marroquina;147
2018;14. Moratalaz;144. Media Legua;144
2018;14. Moratalaz;145. Fontarrón;189
2018;14. Moratalaz;146. Vinateros;153
2018;15. Ciudad Lineal;15. Ciudad Lineal;2.426
2018;15. Ciudad Lineal;151. Ventas;582
