anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,barrio_oficial,seccion_num,codigo_seccion
2017,3,Retiro,2,Adelfas,032,32,27,03027
2017,3,Retiro,2,Adelfas,032,32,28,03028
2017,3,Retiro,2,Adelfas,032,32,29,03029
2017,3,Retiro,2,Adelfas,032,32,30,03030
2017,3,Retiro,2,Adelfas,032,32,92,03092
2017,3,Retiro,2,Adelfas,032,32,97,03097
2017,3,Retiro,2,Adelfas,032,32,98,03098
2017,3,Retiro,2,Adelfas,032,32,99,03099
2017,3,Retiro,3,Estrella,033,33,31,03031
2017,3,Retiro,3,Estrella,033,33,32,03032
2017,3,Retiro,3,Estrella,033,33,33,03033
2017,3,Retiro,3,Estrella,033,33,34,03034
2017,3,Retiro,3,Estrella,033,33,35,03035
2017,3,Retiro,3,Estrella,033,33,36,03036
2017,3,Retiro,3,Estrella,033,33,37,03037
2017,3,Retiro,3,Estrella,033,33,38,03038
2017,3,Retiro,3,Estrella,033,33,39,03039
2017,3,Retiro,3,Estrella,033,33,40,03040
2017,3,Retiro,3,Estrella,033,33,41,03041
2017,3,Retiro,3,Estrella,033,33,42,03042
2017,3,Retiro,3,Estrella,033,33,44,03044
2017,3,Retiro,3,Estrella,033,33,45,03045
2017,3,Retiro,3,Estrella,033,33,46,03046
2017,3,Retiro,3,Estrella,033,33,47,03047
2017,3,Retiro,3,Estrella,033,33,90,03090
2017,3,Retiro,3,Estrella,033,33,91,03091
2017,3,Retiro,3,Estrella,033,33,93,03093
2017,3,Retiro,3,Estrella,033,33,94,03094
2017,3,Retiro,4,Ibiza,034,34,48,03048
2017,3,Retiro,4,Ibiza,034,34,49,03049
2017,3,Retiro,4,Ibiza,034,34,50,03050
2017,3,Retiro,4,Ibiza,034,34,51,03051
2017,3,Retiro,4,Ibiza,034,34,52,03052
2017,3,Retiro,4,Ibiza,034,34,53,03053
2017,3,Retiro,4,Ibiza,034,34,54,03054
2017,3,Retiro,4,Ibiza,034,34,55,03055
2017,3,Retiro,4,Ibiza,034,34,56,03056
2017,3,Retiro,4,Ibiza,034,34,57,03057
2017,3,Retiro,4,Ibiza,034,34,58,03058
2017,3,Retiro,4,Ibiza,034,34,59,03059
2017,3,Retiro,4,Ibiza,034,34,60,03060
2017,3,Retiro,4,Ibiza,034,34,61,03061
2017,3,Retiro,4,Ibiza,034,34,62,03062
2017,3,Retiro,4,Ibiza,034,34,63,03063
2017,3,Retiro,4,Ibiza,034,34,64,03064
2017,3,Retiro,4,Ibiza,034,34,65,03065
2017,3,Retiro,4,Ibiza,034,34,66,03066
2017,3,Retiro,4,Ibiza,034,34,67,03067
2017,3,Retiro,5,Los Jerónimos,035,35,69,03069
2017,3,Retiro,5,Los Jerónimos,035,35,70,03070
2017,3,Retiro,5,Los Jerónimos,035,35,71,03071
2017,3,Retiro,5,Los Jerónimos,035,35,73,03073
2017,3,Retiro,5,Los Jerónimos,035,35,74,03074
2017,3,Retiro,5,Los Jerónimos,035,35,76,03076
2017,3,Retiro,6,Niño Jesús,036,36,77,03077
2017,3,Retiro,6,Niño Jesús,036,36,78,03078
2017,3,Retiro,6,Niño Jesús,036,36,79,03079
2017,3,Retiro,6,Niño Jesús,036,36,80,03080
2017,3,Retiro,6,Niño Jesús,036,36,81,03081
2017,3,Retiro,6,Niño Jesús,036,36,82,03082
2017,3,Retiro,6,Niño Jesús,036,36,84,03084
2017,3,Retiro,6,Niño Jesús,036,36,85,03085
2017,3,Retiro,6,Niño Jesús,036,36,86,03086
2017,3,Retiro,6,Niño Jesús,036,36,87,03087
2017,3,Retiro,6,Niño Jesús,036,36,88,03088
2017,4,Salamanca,1,Recoletos,041,41,1,04001
2017,4,Salamanca,1,Recoletos,041,41,2,04002
2017,4,Salamanca,1,Recoletos,041,41,3,04003
2017,4,Salamanca,1,Recoletos,041,41,4,04004
2017,4,Salamanca,1,Recoletos,041,41,5,04005
2017,4,Salamanca,1,Recoletos,041,41,6,04006
2017,4,Salamanca,1,Recoletos,041,41,7,04007
2017,4,Salamanca,1,Recoletos,041,41,8,04008
2017,4,Salamanca,1,Recoletos,041,41,9,04009
2017,4,Salamanca,1,Recoletos,041,41,10,04010
2017,4,Salamanca,1,Recoletos,041,41,11,04011
2017,4,Salamanca,1,Recoletos,041,41,12,04012
2017,4,Salamanca,1,Recoletos,041,41,13,04013
2017,4,Salamanca,1,Recoletos,041,41,14,04014
2017,4,Salamanca,2,Goya,042,42,15,04015
2017,4,Salamanca,2,Goya,042,42,16,04016
2017,4,Salamanca,2,Goya,042,42,17,04017
2017,4,Salamanca,2,Goya,042,42,18,04018
