ventana,anio_t0,anio_t1,codigo_barrio,barrio_nombre,indice_gentrificacion
C,2019,2021,081,El Pardo,-0.36246291261610436
C,2019,2021,082,Fuentelarreina,-0.14001690417428678
C,2019,2021,083,Peñagrande,-0.16697050431823401
C,2019,2021,084,Pilar,-0.08744408135015919
C,2019,2021,085,La Paz,-0.22768606987996107
C,2019,2021,086,Valverde,0.018592978035485777
C,2019,2021,087,Mirasierra,0.02251322436845001
C,2019,2021,088,El Goloso,0.008731854754615445
C,2019,2021,091,Casa de Campo,0.06384801740376138
C,2019,2021,092,Argüelles,0.639437207548829
C,2019,2021,093,Ciudad Universitaria,0.13743999997051315
C,2019,2021,094,Valdezarza,-0.11659969930118448
C,2019,2021,095,Valdemarín,0.156178731858053
C,2019,2021,096,El Plantío,0.17584276049781483
C,2019,2021,097,Aravaca,-0.0014462326318641615
C,2019,2021,101,Los Cármenes,-0.12246126647121078
C,2019,2021,102,Puerta del Angel,0.1028918061875299
C,2019,2021,103,Lucero,-0.15840693923491997
C,2019,2021,104,Aluche,-0.19361863012700506
C,2019,2021,105,Campamento,-0.15069995308918394
C,2019,2021,106,Cuatro Vientos,-0.2087155033883745
C,2019,2021,107,Águilas,-0.28099909268008194
C,2019,2021,111,Comillas,0.0736373450198063
C,2019,2021,112,Opañel,-0.05323066083388532
C,2019,2021,113,San Isidro,-0.01384923950859078
C,2019,2021,114,Vista Alegre,-0.16507115506850167
C,2019,2021,115,Puerta Bonita,-0.15145364176275167
C,2019,2021,116,Buenavista,-0.2104560280877098
C,2019,2021,117,Abrantes,-0.20544932621385126
C,2019,2021,121,Orcasitas,-0.36760302802004885
C,2019,2021,122,Orcasur,-0.2616472917845992
C,2019,2021,123,San Fermín,-0.26816451350212006
C,2019,2021,124,Almendrales,-0.1634848306455927
C,2019,2021,125,Moscardó,-0.17131011088622805
C,2019,2021,126,Zofío,-0.23400441991226467
C,2019,2021,127,Pradolongo,-0.25841009017741823
C,2019,2021,131,Entrevías,-0.2855430548283577
C,2019,2021,132,San Diego,-0.05562051522450696
C,2019,2021,133,Palomeras Bajas,-0.20323869559475932
C,2019,2021,134,Palomeras Sureste,-0.23769806994671483
C,2019,2021,135,Portazgo,-0.2656721590204781
C,2019,2021,136,Numancia,-0.11879086492250157
C,2019,2021,141,Pavones,-0.3157236905109028
C,2019,2021,142,Horcajo,-0.08034661767578663
C,2019,2021,143,Marroquina,-0.22275158576195814
C,2019,2021,144,Media Legua,-0.22464202003601041
C,2019,2021,145,Fontarrón,-0.16228220216002606
C,2019,2021,146,Vinateros,-0.16003101801007424
C,2019,2021,151,Ventas,-0.031137913342774774
C,2019,2021,152,Pueblo Nuevo,-0.10554286265673424
C,2019,2021,153,Quintana,0.11630974579989718
C,2019,2021,154,La Concepción,0.018364316790860282
C,2019,2021,155,San Pascual,-0.02783741428420958
C,2019,2021,156,San Juan Bautista,0.21255103138711073
C,2019,2021,157,Colina,0.1410236193048324
C,2019,2021,158,Atalaya,0.29062356750308166
C,2019,2021,159,Costillares,-0.05674300033440965
C,2019,2021,161,Palomas,0.09608398587841796
C,2019,2021,162,Piovera,0.40105605722536947
C,2019,2021,163,Canillas,-0.0931944761563984
C,2019,2021,164,Pinar del Rey,-0.11614919807923926
C,2019,2021,165,Apóstol Santiago,-0.22034979489182732
C,2019,2021,166,Valdefuentes,0.12654841623681706
C,2019,2021,171,"Villaverde Alto, Casco Histórico de Villaverde",-0.17312984894019434
C,2019,2021,172,San Cristóbal,-0.32071683728058115
C,2019,2021,173,Butarque,-0.18985972417875094
C,2019,2021,174,Los Rosales,-0.27753216052771396
C,2019,2021,175,Ángeles,-0.21216917732731136
C,2019,2021,181,Casco Histórico de Vallecas,-0.2180185436681436
C,2019,2021,182,Santa Eugenia,-0.15966842263754416
C,2019,2021,183,Ensanche de Vallecas,0.06525799836157631
C,2019,2021,191,Casco Histórico de Vicálvaro,-0.030108779893672773
C,2019,2021,192,Valdebernardo,-0.24029226545482865
C,2019,2021,193,Valderrivas,-0.33931052760232994
C,2019,2021,201,Simancas,0.0017979584391305252
C,2019,2021,202,Hellín,-0.1527331698990789
C,2019,2021,203,Amposta,-0.22688852428049017
C,2019,2021,204,Arcos,-0.12024613086486567
C,2019,2021,205,Rosas,-0.24191477825278523
C,2019,2021,206,Rejas,0.25859775225130865
C,2019,2021,207,Canillejas,-0.14767165447104091
C,2019,2021,208,El Salvador,0.052587182536821146
C,2019,2021,211,Alameda de Osuna,-0.2189466383172146
C,2019,2021,212,Aeropuerto,-0.04137676061121874
C,2019,2021,213,Casco Histórico de Barajas,0.15063380343746324
C,2019,2021,214,Timón,-0.0012830982449372052
C,2019,2021,215,Corralejos,-0.09030297389825892
D,2020,2022,011,Palacio,0.547138217161777
D,2020,2022,012,Embajadores,0.6190772849397744
D,2020,2022,013,Cortes,0.8551205448386401
D,2020,2022,014,Justicia,0.8887527994497484
D,2020,2022,015,Universidad,0.7694503191139611
D,2020,2022,016,Sol,0.4726885478580972
D,2020,2022,021,Imperial,0.01490251571654097
D,2020,2022,022,Acacias,0.10087398768831937
D,2020,2022,023,Chopera,0.10297457499287477
D,2020,2022,024,Legazpi,0.04156121624077484
D,2020,2022,025,Delicias,0.11825065679489706
D,2020,2022,026,Palos de la Frontera,0.24027333108920812
D,2020,2022,027,Atocha,0.5436496844272973
D,2020,2022,031,Pacífico,0.05906440809500672
D,2020,2022,032,Adelfas,0.019191325898778124
D,2020,2022,033,Estrella,-0.09852956059058805
D,2020,2022,034,Ibiza,0.25486172226825604
D,2020,2022,035,Los Jerónimos,0.34416275537584223
D,2020,2022,036,Niño Jesús,0.020219214372999294
D,2020,2022,041,Recoletos,0.8052272559020499
D,2020,2022,042,Goya,0.45643068331927455
D,2020,2022,043,Fuente del Berro,0.1460894213862826
D,2020,2022,044,Guindalera,0.16868425207486815
D,2020,2022,045,Lista,0.39071637305199497
D,2020,2022,046,Castellana,0.5690202335231567
D,2020,2022,051,El Viso,0.21017304153556632
D,2020,2022,052,Prosperidad,0.149203834884743
D,2020,2022,053,Ciudad Jardín,0.18921928023733808
D,2020,2022,054,Hispanoamérica,0.15908336081567084
D,2020,2022,055,Nueva España,0.077598232865157
D,2020,2022,056,Castilla,0.2210065289231889
D,2020,2022,061,Bellas Vistas,0.1353913002980433
D,2020,2022,062,Cuatro Caminos,0.27277728761128134
D,2020,2022,063,Castillejos,0.29662758655486504
D,2020,2022,064,Almenara,0.059505738077851804
D,2020,2022,065,Valdeacederas,0.10034988747963934
D,2020,2022,066,Berruguete,0.12638652712702145
D,2020,2022,071,Gaztambide,0.2788695401091837
D,2020,2022,072,Arapiles,0.28698442445044997
D,2020,2022,073,Trafalgar,0.4790407379158662
D,2020,2022,074,Almagro,0.46606531598177064
D,2020,2022,075,Ríos Rosas,0.37515892581306526
D,2020,2022,076,Vallehermoso,0.15345842439107726
D,2020,2022,081,El Pardo,-0.2891209910933645
D,2020,2022,082,Fuentelarreina,-0.09605116992647879
D,2020,2022,083,Peñagrande,-0.1638780899168487
D,2020,2022,084,Pilar,-0.08437697364357596
D,2020,2022,085,La Paz,-0.20829989253314032
D,2020,2022,086,Valverde,-0.08320101185479396
D,2020,2022,087,Mirasierra,-0.1407482236471079
D,2020,2022,088,El Goloso,-0.07254562733618801
D,2020,2022,091,Casa de Campo,-0.005007072790992532
D,2020,2022,092,Argüelles,0.407855533850672
D,2020,2022,093,Ciudad Universitaria,0.08382931972230787
D,2020,2022,094,Valdezarza,-0.13400154092526556
D,2020,2022,095,Valdemarín,0.08567460176466045
D,2020,2022,096,El Plantío,0.0019595039063666497
D,2020,2022,097,Aravaca,-3.3602577905605946e-5
D,2020,2022,101,Los Cármenes,-0.05432720980792855
D,2020,2022,102,Puerta del Angel,0.08808239206460433
D,2020,2022,103,Lucero,-0.14245277361780423
D,2020,2022,104,Aluche,-0.22241474084071233
D,2020,2022,105,Campamento,-0.13166964617474652
D,2020,2022,106,Cuatro Vientos,-0.04172886228688619
D,2020,2022,107,Águilas,-0.24778415756934927
D,2020,2022,111,Comillas,0.06480517949255978
D,2020,2022,112,Opañel,0.00830003478849322
D,2020,2022,113,San Isidro,-0.023429266066426063
D,2020,2022,114,Vista Alegre,-0.05017376716654408
D,2020,2022,115,Puerta Bonita,-0.05998801549376188
D,2020,2022,116,Buenavista,-0.08973538356642924
D,2020,2022,117,Abrantes,-0.05033888810665732
D,2020,2022,121,Orcasitas,-0.3043946928186884
D,2020,2022,122,Orcasur,-0.06417554220203267
D,2020,2022,123,San Fermín,-0.21426638987568772
D,2020,2022,124,Almendrales,-0.03890502857862678
D,2020,2022,125,Moscardó,-0.0314522336093381
D,2020,2022,126,Zofío,-0.09047819570220553
D,2020,2022,127,Pradolongo,0.017098936321104194
D,2020,2022,131,Entrevías,-0.23014526335997498
D,2020,2022,132,San Diego,0.022893703767529233
D,2020,2022,133,Palomeras Bajas,-0.15860720085047808
D,2020,2022,134,Palomeras Sureste,-0.14779630052022308
D,2020,2022,135,Portazgo,-0.19717945219394273
D,2020,2022,136,Numancia,-0.10777528244353458
D,2020,2022,141,Pavones,-0.5416838922815517
D,2020,2022,142,Horcajo,-0.06162331583014627
D,2020,2022,143,Marroquina,-0.2387636133391327
D,2020,2022,144,Media Legua,-0.22302161362737344
D,2020,2022,145,Fontarrón,-0.10183707914957132
