anio,codigo_barrio,distancia_centro_lineal_m
2021,208,6971.5342346356165
2021,206,11809.63820196371
2021,091,4173.70973569349
2021,051,3488.851318650299
2021,053,4358.077010859165
2021,052,4228.4739666609175
2021,156,5517.381608968283
2021,062,3851.772624393627
2021,161,8460.640556816981
2021,061,3909.9230272279283
2021,054,4821.909255036253
2021,162,7272.732429305579
2021,157,5876.295848019207
2021,066,4696.858225349871
2021,211,10497.654905582835
2021,063,4865.914189784135
2021,097,7562.302886124522
2021,158,6201.670850629291
2021,055,5520.42661009162
2021,163,7296.3128949825195
2021,215,9764.470276030066
2021,094,5430.495863456287
2021,065,5518.012353126944
2021,064,5985.278187096309
2021,095,8461.673922559497
2021,213,12378.237480023698
2021,093,5161.047274917275
2021,096,11456.239403199888
2021,164,7830.265125778066
2021,165,7594.745424567081
2021,056,6669.055830452032
2021,159,7261.663100362989
2021,084,6654.963695802388
2021,083,7057.610320340321
2021,085,7117.7974365875125
2021,082,7753.532187499974
2021,214,10789.995183450248
2021,212,13760.414182366178
2021,166,10324.991527205424
2021,087,8861.590716918443
2021,086,9459.745224709619
2021,088,13001.867098354021
2021,081,15968.22141060446
2021,191,11070.104037586227
2021,194,13555.048065442257
2022,172,8593.622960340828
2022,173,9220.484973883558
2022,175,6844.387300119114
2022,174,6973.898784029635
2022,171,8429.326864195527
2022,121,5444.820287906102
2022,183,10345.169175936604
2022,116,6594.790383780321
2022,106,8640.707907451917
2022,123,5347.446157717271
2022,181,10796.278894705025
2022,122,5034.764058844293
2022,126,4309.52279835841
2022,127,4353.234073261076
2022,117,4633.638141225011
2022,115,5104.261850367837
2022,124,3761.5800879559033
2022,182,8760.143846746487
2022,114,5063.086324920521
2022,131,5421.836615386178
2022,107,6885.975485017603
2022,134,6728.434776921601
2022,133,5299.0997356729995
2022,024,3482.173002857998
2022,125,3148.6442045488893
2022,112,3342.757631033908
2022,132,4343.126330531005
2022,135,5623.0531374149605
2022,111,2716.7136162936577
2022,105,9136.382852802442
2022,023,2545.018386497575
2022,025,2594.8558234431603
2022,104,5246.164022823681
2022,141,6486.612033542536
2022,193,8888.946624552194
2022,113,3059.153889680385
2022,192,7725.9439756577085
2022,136,4377.421684034425
2022,032,3369.150445677532
2022,022,1817.5811850440869
2022,031,2621.7747784918915
2022,026,1750.0535321095113
2022,145,5210.58502616521
2022,027,2733.936865934582
2022,101,3189.554446727571
2022,146,5433.702059193246
2022,103,4227.863163252316
2022,142,6656.046390097287
2022,021,1701.7018392735265
2022,012,913.3758849186464
2022,143,5474.216389082998
2022,036,2715.894782460416
2022,102,2462.022580849945
2022,144,4094.469073486074
2022,013,710.3836290668983
2022,016,0
2022,033,3330.2473893528722
2022,035,1693.9135147130908
2022,034,2569.6134139034625
2022,011,834.2995407682666
2022,204,7390.381611996103
2022,042,2696.9525342198763
2022,203,7068.520027681723
2022,014,971.425331535661
2022,041,1781.6869772844016
2022,015,952.2311828537734
2022,043,3556.017728248135
2022,151,4882.186885724673
2022,202,7594.896097053899
2022,092,1653.689031051321
2022,045,2933.1991116906975
2022,152,5945.604598047828
2022,046,2491.069128422304
2022,074,1961.8300992174234
2022,073,1749.3437824392968
2022,072,1920.4473957863156
2022,071,2139.2733803959786
2022,153,5499.8856458525215
2022,201,7030.432034855219
2022,044,3851.5103356300488
2022,154,5286.907708726859
2022,075,2846.104985761997
2022,076,2895.9649447630973
2022,155,5179.583350579988
2022,207,8480.24735908624
2022,205,9425.773254341555
2022,208,6971.5342346356165
2022,206,11809.63820196371
2022,091,4173.70973569349
2022,051,3488.851318650299
2022,053,4358.077010859165
2022,052,4228.4739666609175
2022,156,5517.381608968283
2022,062,3851.772624393627
2022,161,8460.640556816981
2022,061,3909.9230272279283
2022,054,4821.909255036253
2022,162,7272.732429305579
2022,157,5876.295848019207
2022,066,4696.858225349871
2022,211,10497.654905582835
2022,063,4865.914189784135
2022,097,7562.302886124522
2022,158,6201.670850629291
2022,055,5520.42661009162
2022,163,7296.3128949825195
2022,215,9764.470276030066
2022,094,5430.495863456287
2022,065,5518.012353126944
2022,064,5985.278187096309
2022,095,8461.673922559497
2022,213,12378.237480023698
2022,093,5161.047274917275
2022,096,11456.239403199888
2022,164,7830.265125778066
2022,165,7594.745424567081
2022,056,6669.055830452032
2022,159,7261.663100362989
2022,084,6654.963695802388
2022,083,7057.610320340321
2022,085,7117.7974365875125
2022,082,7753.532187499974
2022,214,10789.995183450248
2022,212,13760.414182366178
2022,166,10324.991527205424
2022,087,8861.590716918443
2022,086,9459.745224709619
2022,088,13001.867098354021
2022,081,15968.22141060446
2022,191,11070.104037586227
2022,194,13555.048065442257
2023,172,8593.622960340828
2023,173,9220.484973883558
2023,175,6844.387300119114
2023,174,6973.898784029635
2023,171,8429.326864195527
2023,121,5444.820287906102
2023,183,10345.169175936604
2023,116,6594.790383780321
2023,106,8640.707907451917
2023,123,5347.446157717271
2023,181,10796.278894705025
2023,122,5034.764058844293
2023,126,4309.52279835841
2023,127,4353.234073261076
2023,117,4633.638141225011
2023,115,5104.261850367837
2023,124,3761.5800879559033
2023,182,8760.143846746487
2023,114,5063.086324920521
2023,131,5421.836615386178
2023,107,6885.975485017603
2023,134,6728.434776921601
2023,133,5299.0997356729995
2023,024,3482.173002857998
2023,125,3148.6442045488893
2023,112,3342.757631033908
2023,132,4343.126330531005
2023,135,5623.0531374149605
2023,111,2716.7136162936577
2023,105,9136.382852802442
2023,023,2545.018386497575
2023,025,2594.8558234431603
2023,104,5246.164022823681
2023,141,6486.612033542536
2023,193,8888.946624552194
2023,113,3059.153889680385
2023,192,7725.9439756577085
2023,136,4377.421684034425
2023,032,3369.150445677532
2023,022,1817.5811850440869
2023,031,2621.7747784918915
2023,026,1750.0535321095113
2023,145,5210.58502616521
2023,027,2733.936865934582
2023,101,3189.554446727571
2023,146,5433.702059193246
2023,103,4227.863163252316
2023,142,6656.046390097287
2023,021,1701.7018392735265
2023,012,913.3758849186464
2023,143,5474.216389082998
2023,036,2715.894782460416
2023,102,2462.022580849945
2023,144,4094.469073486074
2023,013,710.3836290668983
2023,016,0
2023,033,3330.2473893528722
2023,035,1693.9135147130908
2023,034,2569.6134139034625
2023,011,834.2995407682666
2023,204,7390.381611996103
2023,042,2696.9525342198763
2023,203,7068.520027681723
2023,014,971.425331535661
2023,041,1781.6869772844016
2023,015,952.2311828537734
2023,043,3556.017728248135
2023,151,4882.186885724673
2023,202,7594.896097053899
2023,092,1653.689031051321
2023,045,2933.1991116906975
2023,152,5945.604598047828
2023,046,2491.069128422304
2023,074,1961.8300992174234
2023,073,1749.3437824392968
2023,072,1920.4473957863156
2023,071,2139.2733803959786
2023,153,5499.8856458525215
2023,201,7030.432034855219
2023,044,3851.5103356300488
2023,154,5286.907708726859
2023,075,2846.104985761997
2023,076,2895.9649447630973
2023,155,5179.583350579988
2023,207,8480.24735908624
2023,205,9425.773254341555
2023,208,6971.5342346356165
2023,206,11809.63820196371
2023,091,4173.70973569349
2023,051,3488.851318650299
2023,053,4358.077010859165
2023,052,4228.4739666609175
2023,156,5517.381608968283
2023,062,3851.772624393627
2023,161,8460.640556816981
2023,061,3909.9230272279283
2023,054,4821.909255036253
2023,162,7272.732429305579
2023,157,5876.295848019207
2023,066,4696.858225349871
2023,211,10497.654905582835
2023,063,4865.914189784135
2023,097,7562.302886124522
2023,158,6201.670850629291
2023,055,5520.42661009162
2023,163,7296.3128949825195
2023,215,9764.470276030066
2023,094,5430.495863456287
2023,065,5518.012353126944
2023,064,5985.278187096309
2023,095,8461.673922559497
2023,213,12378.237480023698
2023,093,5161.047274917275
2023,096,11456.239403199888
2023,164,7830.265125778066
2023,165,7594.745424567081
2023,056,6669.055830452032
2023,159,7261.663100362989
2023,084,6654.963695802388
2023,083,7057.610320340321
2023,085,7117.7974365875125
2023,082,7753.532187499974
2023,214,10789.995183450248
2023,212,13760.414182366178
2023,166,10324.991527205424
2023,087,8861.590716918443
2023,086,9459.745224709619
2023,088,13001.867098354021
2023,081,15968.22141060446
2023,191,11070.104037586227
2023,194,13555.048065442257
