iteracion,ventana_test,codigo_barrio,actual,pred,modelo
2,C,107,-0.28099909268008194,-0.13827122274926856,rf
2,C,112,-0.05323066083388532,0.006780499150851706,rf
2,C,127,-0.25841009017741823,-0.12353725886176241,rf
2,C,133,-0.20323869559475932,-0.12436233059713249,rf
2,C,141,-0.3157236905109028,-0.12132173435189868,rf
2,C,152,-0.10554286265673424,-0.024066417089981577,rf
2,C,157,0.1410236193048324,0.20479724261293064,rf
2,C,163,-0.0931944761563984,-0.029007206427135935,rf
2,C,172,-0.32071683728058115,-0.16485925691149161,rf
2,C,182,-0.15966842263754416,-0.086275220162083055,rf
2,C,192,-0.24029226545482865,-0.21129220633596693,rf
2,C,205,-0.24191477825278523,-0.1292998147998829,rf
2,C,206,0.25859775225130865,0.1027591004919785,rf
2,C,212,-0.04137676061121874,-0.05754006428655298,rf
2,C,013,1.0560965507150604,1.1100729703903198,xgboost
2,C,022,0.07817268921237099,0.1964552104473114,xgboost
2,C,036,0.05664527117677024,0.1552409678697586,xgboost
2,C,046,0.7222471690583743,0.532820463180542,xgboost
2,C,053,0.31676209614773965,0.4015411138534546,xgboost
2,C,062,0.35096492031016446,0.40490055084228516,xgboost
2,C,071,0.49073756410429653,0.49917852878570557,xgboost
2,C,082,-0.14001690417428678,-0.08840357512235641,xgboost
2,C,083,-0.16697050431823401,-0.08798307925462723,xgboost
2,C,096,0.17584276049781483,0.07134131342172623,xgboost
2,C,107,-0.28099909268008194,-0.14214293658733368,xgboost
2,C,112,-0.05323066083388532,0.042807433754205704,xgboost
2,C,127,-0.25841009017741823,-0.13607487082481384,xgboost
2,C,133,-0.20323869559475932,-0.14353574812412262,xgboost
2,C,141,-0.3157236905109028,-0.1226377859711647,xgboost
2,C,152,-0.10554286265673424,-0.0235202144831419,xgboost
2,C,157,0.1410236193048324,0.18455500900745392,xgboost
2,C,163,-0.0931944761563984,-0.04983433708548546,xgboost
2,C,172,-0.32071683728058115,-0.17402148246765137,xgboost
2,C,182,-0.15966842263754416,-0.0852428525686264,xgboost
2,C,192,-0.24029226545482865,-0.2234613001346588,xgboost
2,C,205,-0.24191477825278523,-0.1606927067041397,xgboost
2,C,206,0.25859775225130865,0.0913676917552948,xgboost
2,C,212,-0.04137676061121874,-0.04480700567364693,xgboost
3,D,013,0.8551205448386401,0.9526651395956558,rf
3,D,022,0.10087398768831937,0.19656152583152187,rf
3,D,036,0.020219214372999294,0.12838413386435907,rf
