anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,transacciones_vivienda_barrio,tasa_transacciones_vivienda
2019,15,Ciudad Lineal,5,San Pascual,155,142,0.007803055280800088
2019,15,Ciudad Lineal,6,San Juan Bautista,156,125,0.009993604093380237
2019,15,Ciudad Lineal,7,Colina,157,77,0.012033130176590093
2019,15,Ciudad Lineal,8,Atalaya,158,23,0.01464968152866242
2019,15,Ciudad Lineal,9,Costillares,159,159,0.007203370633806007
2019,16,Hortaleza,1,Palomas,161,53,0.0077964107090320684
2019,16,Hortaleza,2,Piovera,162,104,0.006966307187353473
2019,16,Hortaleza,3,Canillas,163,299,0.007346798368470195
2019,16,Hortaleza,4,Pinar del Rey,164,628,0.011887185311376112
2019,16,Hortaleza,5,Apóstol Santiago,165,120,0.007758453481606
2019,16,Hortaleza,6,Valdefuentes,166,1052,0.018151074916318715
2019,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,438,0.009663754302356367
2019,17,Villaverde,2,San Cristóbal,172,293,0.018208936672674165
2019,17,Villaverde,3,Butarque,173,536,0.028341793570219966
2019,17,Villaverde,4,Los Rosales,174,291,0.0077198567449263825
2019,17,Villaverde,5,Ángeles,175,693,0.022173161835285084
2019,18,Villa de Vallecas,1,Casco Histórico de Vallecas,181,321,0.007954996034892942
2019,18,Villa de Vallecas,2,Santa Eugenia,182,202,0.008282762014105298
2019,18,Villa de Vallecas,3,Ensanche de Vallecas,183,1085,0.02364091949014054
2019,19,Vicalvaro,1,Casco Histórico de Vicálvaro,191,273,0.007816078790655061
2019,19,Vicalvaro,2,Valdebernardo,192,45,0.0025452488687782806
2019,19,Vicalvaro,3,Valderrivas,193,68,0.003744905826632889
2019,19,Vicalvaro,4,El Cañaveral,194,568,0.3717277486910995
2019,20,San Blas-Canillejas,1,Simancas,201,380,0.013568521031207599
2019,20,San Blas-Canillejas,2,Hellín,202,130,0.014122759369907659
2019,20,San Blas-Canillejas,3,Amposta,203,136,0.015817632007443592
2019,20,San Blas-Canillejas,4,Arcos,204,206,0.008478064038192444
