ventana,barrio_nombre,indice_gentrificacion,categoria
B,Hispanoamérica,0.167257435689773,3: Quartile 2 (slight gentrification trend)
B,Palomas,0.15026383645722347,3: Quartile 2 (slight gentrification trend)
B,Pacífico,0.14319682724182736,3: Quartile 2 (slight gentrification trend)
B,Acacias,0.12601880717737918,3: Quartile 2 (slight gentrification trend)
B,Atalaya,0.11732550615028386,3: Quartile 2 (slight gentrification trend)
B,Comillas,0.10894210932318178,3: Quartile 2 (slight gentrification trend)
B,Puerta del Angel,0.09765090385740915,3: Quartile 2 (slight gentrification trend)
B,La Concepción,0.09576132048074269,3: Quartile 2 (slight gentrification trend)
B,Almenara,0.0849030887003663,3: Quartile 2 (slight gentrification trend)
B,El Plantío,0.0780782552323178,3: Quartile 2 (slight gentrification trend)
B,Imperial,0.06826914458587531,3: Quartile 2 (slight gentrification trend)
B,Ensanche de Vallecas,0.06584082524571268,3: Quartile 2 (slight gentrification trend)
B,Casa de Campo,0.06386227873217641,3: Quartile 2 (slight gentrification trend)
B,Adelfas,0.05900137832335404,3: Quartile 2 (slight gentrification trend)
B,El Goloso,0.056529886626263064,3: Quartile 2 (slight gentrification trend)
B,Niño Jesús,0.052304322553766595,3: Quartile 2 (slight gentrification trend)
B,Valdefuentes,0.051933362210351545,3: Quartile 2 (slight gentrification trend)
B,Pavones,0.04256536786005625,3: Quartile 2 (slight gentrification trend)
B,Casco Histórico de Barajas,0.04147564142874836,3: Quartile 2 (slight gentrification trend)
B,Simancas,0.040538425805932435,3: Quartile 2 (slight gentrification trend)
B,Valdemarín,0.040367384909345175,3: Quartile 2 (slight gentrification trend)
B,Ciudad Universitaria,0.02784627044393398,3: Quartile 2 (slight gentrification trend)
B,Apóstol Santiago,0.022900034801737187,3: Quartile 2 (slight gentrification trend)
B,Ventas,0.018661778604798784,3: Quartile 2 (slight gentrification trend)
B,San Diego,0.014428753532457256,3: Quartile 2 (slight gentrification trend)
B,San Isidro,7.765471391479942e-4,3: Quartile 2 (slight gentrification trend)
B,Aravaca,-0.0012182703370090069,3: Quartile 2 (slight gentrification trend)
B,San Pascual,-0.010300982468399271,4: Quartile 3+4 (no gentrification dynamic)
B,Valverde,-0.01126091564599392,4: Quartile 3+4 (no gentrification dynamic)
B,El Salvador,-0.023347141921664382,4: Quartile 3+4 (no gentrification dynamic)
B,Numancia,-0.026405736087262096,4: Quartile 3+4 (no gentrification dynamic)
B,Costillares,-0.026917684083987897,4: Quartile 3+4 (no gentrification dynamic)
B,Opañel,-0.030821798091092475,4: Quartile 3+4 (no gentrification dynamic)
B,Casco Histórico de Vicálvaro,-0.0378546608061029,4: Quartile 3+4 (no gentrification dynamic)
B,Pilar,-0.04451130389217816,4: Quartile 3+4 (no gentrification dynamic)
B,Campamento,-0.052020516555284564,4: Quartile 3+4 (no gentrification dynamic)
B,Pueblo Nuevo,-0.052214621662028664,4: Quartile 3+4 (no gentrification dynamic)
B,Canillejas,-0.05262863845421313,4: Quartile 3+4 (no gentrification dynamic)
B,Valdezarza,-0.05800345260118929,4: Quartile 3+4 (no gentrification dynamic)
B,Fuentelarreina,-0.06347544318714309,4: Quartile 3+4 (no gentrification dynamic)
B,Mirasierra,-0.06382092121103235,4: Quartile 3+4 (no gentrification dynamic)
B,Timón,-0.07615521684439863,4: Quartile 3+4 (no gentrification dynamic)
B,Canillas,-0.07954501493557056,4: Quartile 3+4 (no gentrification dynamic)
