anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,poblacion_total_barrio,pob_25_39_barrio,pct_pob_25_39
2018,15,Ciudad Lineal,6,San Juan Bautista,156,12449,2157,0.1732669290706081
2018,15,Ciudad Lineal,7,Colina,157,6297,1176,0.1867555979037637
2018,15,Ciudad Lineal,8,Atalaya,158,1575,235,0.1492063492063492
2018,15,Ciudad Lineal,9,Costillares,159,22078,3464,0.1568982697708126
2018,16,Hortaleza,1,Palomas,161,6754,940,0.1391767841279242
2018,16,Hortaleza,2,Piovera,162,14746,2300,0.15597450155974502
2018,16,Hortaleza,3,Canillas,163,40745,7543,0.18512700944901214
2018,16,Hortaleza,4,Pinar del Rey,164,52417,9808,0.18711486731403934
2018,16,Hortaleza,5,Apóstol Santiago,165,15303,2699,0.1763706462785075
2018,16,Hortaleza,6,Valdefuentes,166,54342,11893,0.21885466121968275
2018,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,44475,8831,0.19856098931984262
2018,17,Villaverde,2,San Cristóbal,172,15549,3541,0.22773168692520418
2018,17,Villaverde,3,Butarque,173,18318,3778,0.2062452232776504
2018,17,Villaverde,4,Los Rosales,174,37076,6770,0.18259790700183406
2018,17,Villaverde,5,Ángeles,175,30570,5558,0.18181223421655218
2018,18,Villa de Vallecas,1,Casco Histórico de Vallecas,181,39386,8043,0.20420961763063017
2018,18,Villa de Vallecas,2,Santa Eugenia,182,24348,4742,0.19475932314769182
2018,18,Villa de Vallecas,3,Ensanche de Vallecas,183,43657,13734,0.31458872574844815
2018,19,Vicalvaro,1,Casco Histórico de Vicálvaro,191,34200,NA,NA
2018,19,Vicalvaro,2,Valdebernardo,192,17637,NA,NA
2018,19,Vicalvaro,3,Valderrivas,193,18180,NA,NA
2018,19,Vicalvaro,4,El Cañaveral,194,946,347,0.3668076109936575
2018,20,San Blas-Canillejas,1,Simancas,201,27339,5680,0.20776180547935183
