distrito,barrio_registrado,seccion,fecha_alta,procedencia,fecha_baja,destino,fecha_modificacion,barrio_antiguo,observaciones
3,31,15,19880701,NA,NA,NA,NA,NA,NA
3,31,16,19880701,NA,NA,NA,NA,NA,NA
3,31,17,19880701,NA,NA,NA,NA,NA,NA
3,31,18,19880701,NA,NA,NA,NA,NA,NA
3,31,19,19880701,NA,NA,NA,NA,NA,NA
3,31,20,19880701,NA,NA,NA,NA,NA,NA
3,31,21,19880701,NA,NA,NA,NA,NA,NA
3,31,22,19880701,NA,NA,NA,NA,NA,NA
3,31,23,19880701,NA,NA,NA,NA,NA,NA
3,31,89,19880701,NA,NA,NA,NA,NA,NA
3,31,95,19990101,001,NA,NA,NA,NA,NA
3,31,96,19991201,001,NA,NA,NA,NA,NA
3,32,24,19880701,NA,NA,NA,NA,NA,NA
3,32,25,19880701,NA,NA,NA,NA,NA,NA
3,32,26,19880701,NA,NA,NA,NA,NA,NA
3,32,27,19880701,NA,NA,NA,NA,NA,NA
3,32,28,19880701,NA,NA,NA,NA,NA,NA
3,32,29,19880701,NA,NA,NA,NA,NA,NA
3,32,30,19880701,NA,NA,NA,NA,NA,NA
3,32,92,19940101,030,NA,Ver incidencias,NA,NA,NA
3,32,97,20000701,024,NA,NA,NA,NA,NA
3,32,98,20051201,029,NA,NA,NA,NA,NA
3,32,99,20061101,028,NA,NA,NA,NA,NA
3,32,100,20171101,097,NA,NA,NA,NA,NA
3,32,101,20220601,025,NA,NA,NA,NA,NA
3,33,31,19880701,NA,NA,NA,NA,NA,NA
3,33,32,19880701,NA,NA,NA,NA,NA,NA
3,33,33,19880701,NA,NA,NA,NA,NA,NA
3,33,34,19880701,NA,NA,NA,NA,NA,NA
3,33,35,19880701,NA,NA,NA,NA,NA,NA
3,33,36,19880701,NA,NA,NA,NA,NA,NA
3,33,37,19880701,NA,NA,NA,NA,NA,NA
3,33,38,19880701,NA,NA,NA,NA,NA,NA
3,33,39,19880701,NA,NA,NA,NA,NA,NA
3,33,40,19880701,NA,NA,NA,NA,NA,NA
3,33,41,19880701,NA,NA,NA,NA,NA,NA
3,33,42,19880701,NA,NA,NA,NA,NA,NA
3,33,43,19880701,NA,19960501,044,NA,NA,NA
3,33,44,19880701,NA,NA,NA,NA,NA,NA
3,33,45,19880701,NA,NA,NA,NA,NA,NA
3,33,46,19880701,NA,NA,NA,NA,NA,NA
3,33,47,19880701,NA,NA,NA,NA,NA,NA
3,33,90,19880701,NA,NA,NA,NA,NA,NA
3,33,91,19880701,NA,NA,NA,NA,NA,NA
3,33,93,19940101,045,NA,NA,NA,NA,NA
3,33,94,19960501,038,NA,NA,NA,NA,NA
3,34,48,19880701,NA,NA,NA,NA,NA,NA
3,34,49,19880701,NA,NA,NA,NA,NA,NA
3,34,50,19880701,NA,NA,NA,NA,NA,NA
3,34,51,19880701,NA,NA,NA,NA,NA,NA
3,34,52,19880701,NA,NA,NA,NA,NA,NA
3,34,53,19880701,NA,NA,NA,NA,NA,NA
3,34,54,19880701,NA,NA,NA,NA,NA,NA
3,34,55,19880701,NA,NA,NA,NA,NA,NA
3,34,56,19880701,NA,NA,NA,NA,NA,NA
3,34,57,19880701,NA,NA,NA,NA,NA,NA
3,34,58,19880701,NA,NA,NA,NA,NA,NA
3,34,59,19880701,NA,NA,NA,NA,NA,NA
3,34,60,19880701,NA,NA,NA,NA,NA,NA
3,34,61,19880701,NA,NA,NA,NA,NA,NA
3,34,62,19880701,NA,20171101,065,NA,NA,NA
3,34,63,19880701,NA,NA,NA,NA,NA,NA
3,34,64,19880701,NA,NA,NA,NA,NA,NA
3,34,65,19880701,NA,NA,NA,NA,NA,NA
3,34,66,19880701,NA,NA,NA,NA,NA,NA
3,34,67,19880701,NA,NA,NA,NA,NA,NA
3,35,68,19880701,NA,20120701,073,NA,NA,NA
3,35,69,19880701,NA,NA,NA,NA,NA,NA
3,35,70,19880701,NA,20241015,069,NA,NA,NA
3,35,71,19880701,NA,NA,NA,NA,NA,NA
3,35,72,19880701,NA,20061101,071,NA,NA,NA
3,35,73,19880701,NA,NA,NA,NA,NA,NA
3,35,74,19880701,NA,NA,NA,NA,NA,NA
3,35,75,19880701,NA,20010301,073,NA,NA,NA
3,35,76,19880701,NA,NA,NA,NA,NA,NA
3,36,77,19880701,NA,NA,NA,NA,NA,NA
3,36,78,19880701,NA,NA,NA,NA,NA,NA
3,36,79,19880701,NA,NA,NA,NA,NA,NA
3,36,80,19880701,NA,NA,NA,NA,NA,NA
3,36,81,19880701,NA,NA,NA,NA,NA,NA
3,36,82,19880701,NA,NA,NA,NA,NA,NA
3,36,83,19880701,NA,19960501,084,NA,NA,NA
3,36,84,19880701,NA,NA,NA,NA,NA,NA
3,36,85,19880701,NA,NA,NA,NA,NA,NA
3,36,86,19880701,NA,NA,NA,NA,NA,NA
3,36,87,19880701,NA,NA,NA,NA,NA,NA
3,36,88,19880701,NA,20241015,087,NA,NA,NA
4,41,1,19880701,NA,NA,NA,NA,NA,NA
4,41,2,19880701,NA,NA,NA,NA,NA,NA
4,41,3,19880701,NA,NA,NA,NA,NA,NA
4,41,4,19880701,NA,NA,NA,NA,NA,NA
4,41,5,19880701,NA,NA,NA,NA,NA,NA
4,41,6,19880701,NA,NA,NA,NA,NA,NA
4,41,7,19880701,NA,NA,NA,NA,NA,NA
4,41,8,19880701,NA,NA,NA,NA,NA,NA
4,41,9,19880701,NA,NA,NA,NA,NA,NA
4,41,10,19880701,NA,NA,NA,NA,NA,NA
4,41,11,19880701,NA,NA,NA,NA,NA,NA
4,41,12,19880701,NA,NA,NA,NA,NA,NA
4,41,13,19880701,NA,NA,NA,NA,NA,NA
4,41,14,19880701,NA,NA,NA,NA,NA,NA
4,42,15,19880701,NA,NA,NA,NA,NA,NA
4,42,16,19880701,NA,NA,NA,NA,NA,NA
4,42,17,19880701,NA,NA,NA,NA,NA,NA
4,42,18,19880701,NA,NA,NA,NA,NA,NA
4,42,19,19880701,NA,NA,NA,NA,NA,NA
4,42,20,19880701,NA,NA,NA,NA,NA,NA
4,42,21,19880701,NA,NA,NA,NA,NA,NA
4,42,22,19880701,NA,20031101,016,NA,NA,NA
4,42,23,19880701,NA,NA,NA,NA,NA,NA
4,42,24,19880701,NA,NA,NA,NA,NA,NA
4,42,25,19880701,NA,NA,NA,NA,NA,NA
4,42,26,19880701,NA,NA,NA,NA,NA,NA
4,42,27,19880701,NA,NA,NA,NA,NA,NA
4,42,28,19880701,NA,NA,NA,NA,NA,NA
4,42,29,19880701,NA,NA,NA,NA,NA,NA
4,42,30,19880701,NA,NA,NA,NA,NA,NA
4,42,31,19880701,NA,NA,NA,NA,NA,NA
4,42,32,19880701,NA,NA,NA,NA,NA,NA
4,42,33,19880701,NA,NA,NA,NA,NA,NA
4,42,34,19880701,NA,NA,NA,NA,NA,NA
4,42,35,19880701,NA,NA,NA,NA,NA,NA
4,42,36,19880701,NA,NA,NA,NA,NA,NA
4,42,37,19880701,NA,NA,NA,NA,NA,NA
4,42,38,19880701,NA,NA,NA,NA,NA,NA
4,42,39,19880701,NA,NA,NA,NA,NA,NA
4,42,40,19880701,NA,NA,NA,NA,NA,NA
4,42,41,19880701,NA,NA,NA,NA,NA,NA
4,42,42,19880701,NA,NA,NA,NA,NA,NA
4,43,43,19880701,NA,NA,NA,NA,NA,NA
4,43,44,19880701,NA,NA,NA,NA,NA,NA
4,43,45,19880701,NA,NA,NA,NA,NA,NA
4,43,46,19880701,NA,NA,NA,NA,NA,NA
4,43,47,19880701,NA,NA,NA,NA,NA,NA
4,43,48,19880701,NA,NA,NA,NA,NA,NA
4,43,49,19880701,NA,NA,NA,NA,NA,NA
4,43,50,19880701,NA,NA,NA,NA,NA,NA
4,43,51,19880701,NA,NA,NA,NA,NA,NA
4,43,52,19880701,NA,NA,NA,NA,NA,NA
4,43,53,19880701,NA,NA,NA,NA,NA,NA
4,43,54,19880701,NA,NA,NA,NA,NA,NA
4,43,55,19880701,NA,NA,NA,NA,NA,NA
4,43,56,19880701,NA,NA,NA,NA,NA,NA
4,43,57,19880701,NA,NA,NA,NA,NA,NA
4,43,58,19880701,NA,NA,NA,NA,NA,NA
4,43,59,19880701,NA,20010301,056,NA,NA,NA
4,43,60,19880701,NA,NA,NA,NA,NA,NA
4,44,61,19880701,NA,NA,NA,NA,NA,NA
4,44,62,19880701,NA,NA,NA,NA,NA,NA
4,44,63,19880701,NA,NA,NA,NA,NA,NA
4,44,64,19880701,NA,NA,NA,NA,NA,NA
4,44,65,19880701,NA,NA,NA,NA,NA,NA
4,44,66,19880701,NA,19960501,065,NA,NA,NA
4,44,67,19880701,NA,NA,NA,NA,NA,NA
4,44,68,19880701,NA,NA,NA,NA,NA,NA
4,44,69,19880701,NA,NA,NA,NA,NA,NA
4,44,70,19880701,NA,NA,NA,NA,NA,NA
4,44,71,19880701,NA,NA,NA,NA,NA,NA
4,44,72,19880701,NA,NA,NA,NA,NA,NA
4,44,73,19880701,NA,NA,NA,NA,NA,NA
4,44,74,19880701,NA,NA,NA,NA,NA,NA
4,44,75,19880701,NA,NA,NA,NA,NA,NA
4,44,76,19880701,NA,NA,NA,NA,NA,NA
4,44,77,19880701,NA,NA,NA,NA,NA,NA
4,44,78,19880701,NA,NA,NA,NA,NA,NA
4,44,79,19880701,NA,NA,NA,NA,NA,NA
4,44,80,19880701,NA,NA,NA,NA,NA,NA
4,44,81,19880701,NA,NA,NA,NA,NA,NA
4,44,82,19880701,NA,NA,NA,NA,NA,NA
4,44,83,19880701,NA,NA,NA,NA,NA,NA
4,44,84,19880701,NA,NA,NA,NA,NA,NA
4,44,85,19880701,NA,NA,NA,NA,NA,NA
4,44,86,19880701,NA,NA,NA,NA,NA,NA
4,44,87,19880701,NA,NA,NA,NA,NA,NA
4,44,88,19880701,NA,NA,NA,NA,NA,NA
4,44,89,19880701,NA,NA,NA,NA,NA,NA
4,44,90,19880701,NA,NA,NA,NA,NA,NA
4,44,91,19880701,NA,NA,NA,NA,NA,NA
4,44,92,19880701,NA,NA,NA,NA,NA,NA
4,44,93,19880701,NA,NA,NA,NA,NA,NA
